Bits per Pixel (BPP),beta-VAE-GAN,VQ-VAE-GAN,Hierarchical VAE-GAN
0.1,0.35,0.32,0.29
0.11,0.34299999999999997,0.313,0.283
0.12000000000000001,0.33599999999999997,0.306,0.27599999999999997
0.13,0.329,0.299,0.269
0.14,0.322,0.292,0.262
0.15000000000000002,0.315,0.285,0.255
0.16,0.308,0.278,0.248
0.17,0.301,0.271,0.241
0.18,0.29400000000000004,0.264,0.234
0.19,0.28700000000000003,0.257,0.227
0.2,0.28,0.25,0.22
0.21000000000000002,0.276,0.247,0.216
0.22,0.272,0.244,0.212
0.23,0.268,0.241,0.208
0.24,0.264,0.23800000000000002,0.20400000000000001
0.25,0.26,0.235,0.2
0.26,0.256,0.23199999999999998,0.19599999999999998
0.27,0.252,0.22899999999999998,0.19199999999999998
0.28,0.248,0.22599999999999998,0.18799999999999997
0.29,0.244,0.223,0.184
0.3,0.24,0.22,0.18
0.31,0.237,0.216,0.177
0.32,0.23399999999999999,0.212,0.174
0.33,0.23099999999999998,0.208,0.17099999999999999
0.34,0.22799999999999998,0.204,0.16799999999999998
0.35,0.225,0.2,0.165
0.36,0.222,0.196,0.162
0.37,0.219,0.192,0.159
0.38,0.216,0.188,0.156
0.39,0.213,0.184,0.153
0.4,0.21,0.18,0.15
